source,target,alpha_IS,alpha_OOS,abs_diff,rel_change
TSLA,MSFT,0.011815696345935132,0.012157338504248416,0.000341642158313284,0.0289142390908197
AMGN,GILD,0.011790437583809063,0.005287104281025441,0.006503333302783622,-0.5515764568356304
MSFT,INTC,0.011671488363675736,0.008534520393256214,0.0031369679704195217,-0.26877165833158617
AMGN,SBUX,0.011596554247994275,0.007903070773312105,0.0036934834746821694,-0.3184980823368429
LCID,WMT,0.011252176187041673,0.025766731824000685,0.014514555636959012,1.289932053708316
ISRG,CRM,0.011083349554592196,0.00876966156786213,0.0023136879867300657,-0.20875330943959403
CRM,CSCO,0.010994804073983105,0.00812546187022229,0.002869342203760814,-0.2609723260851226
AMGN,PEP,0.010867460685002717,0.006845509533341872,0.004021951151660845,-0.37009082133630244
GILD,CSCO,0.010744836421930058,0.014110498626611706,0.0033656622046816485,0.3132350219368782
RXRX,GILD,0.010717309987142693,0.01585023656883188,0.005132926581689188,0.47893751309534793
ISRG,SBUX,0.010634216136374143,0.011337245653445873,0.00070302951707173,0.06611007778619947
LCID,CRM,0.010376338539977962,0.008077462125731147,0.0022988764142468157,-0.2215496525959698
AAPL,INTC,0.010077604691754456,0.009040838430756508,0.0010367662609979487,-0.10287814058283404
AMZN,INTC,0.009841472760611366,0.009002660501883206,0.00083881225872816,-0.08523230483980972
RXRX,CRM,0.009584103202078894,0.013264356663825453,0.003680253461746559,0.3839951995713358
PEP,CSCO,0.009570738516006741,0.007697961012103437,0.0018727775039033044,-0.19567722428095877
SBUX,CSCO,0.009489582117742725,0.008055547788502688,0.001434034329240037,-0.15111654025243274
LCID,GILD,0.009436507829705952,0.00577560638735516,0.0036609014423507917,-0.3879504610086524
TSLA,INTC,0.009309412875699646,0.0077316349470952775,0.0015777779286043686,-0.16948181962201295
NVDA,INTC,0.009245166813104444,0.007827311485256342,0.001417855327848102,-0.1533616237429211
LCID,SBUX,0.00902102475304947,0.012684497737192215,0.003663472984142744,0.4061034110199324
AMGN,COST,0.00875000235991111,0.005840296350468381,0.0029097060094427285,-0.3325373599212022
CRM,WMT,0.008375279268484125,0.008813179576350012,0.00043790030786588705,0.05228479803243193
COST,PEP,0.008354744727375104,0.006092606090376612,0.0022621386369984916,-0.27076062802734246
COST,SBUX,0.008308853271757382,0.005032229532483749,0.003276623739273633,-0.39435282927463605
